idx,gt
0.27457563018222610.190301169471421280.37267734894398263_0_0_0_0_277_233,0
0.274735787187275650.63643493902495880.5009023911767562_4_4_4_4_2377_708,4
0.275194605745280650.032708884890063630.425056709723153_2_2_2_2_927_418,2
0.27564160329477040.141224448042256870.3342558121668405_4_4_4_4_1042_493,4
0.27785426982523840.28024567710735640.6269972335381374_6_6_6_6_56_462,6
0.278571710679158760.8931239301613220.1889784458812105_3_3_3_3_272_683,3
0.27938154882183130.41362309832841140.7751302869990451_0_0_0_0_961_1098,0
0.2800859907985830.80689949477386660.09253604836171325_5_5_5_5_640_68,5
0.28096796541528190.71697189823143070.027391391104079066_5_8_8_8_1402_308,5
0.28192126145130450.171068479728196280.10683393134627794_0_0_0_5_1172_470,0
0.28225944211911290.74818760999173940.3947024373689769_0_0_0_0_426_513,5
0.283126104309502360.30784579891601480.8197590345842761_6_6_6_6_359_185,6
0.283773538515962760.5563698611023130.9828723238446877_1_1_1_1_1540_988,1
0.285464690427924550.47956909118305290.9896655461825804_1_1_1_1_1177_1003,1
0.28633974719717550.87847121973115880.07640646598643364_3_3_3_3_96_1103,3
0.2871778443008770.59580946967408020.16658607803209602_2_2_2_2_1657_843,2
0.28776347717849950.21859858689486190.7359105488207714_1_1_7_1_1259_660,1
0.28785654854503150.037464561818873030.16087671616303345_7_7_7_7_1220_723,7
0.28785654854503150.037464561818873030.16087671616303345_7_7_7_7_775_658,7
0.28790605737875310.56823986569094880.11338951206524905_2_2_2_2_875_1051,2
0.28807863236914720.23706301978320510.8461795967429329_0_0_0_0_1_1,0
0.28885748344507310.90287311715096390.22416445385863026_3_3_3_3_106_533,3
0.289148512404082570.359614546025141870.10026536690355947_0_0_0_0_2087_755,0
0.289148512404082570.359614546025141870.10026536690355947_1_1_1_1_1948_1107,1
0.289432003803388850.69042352212718120.3168442420614087_0_0_0_0_661_840,0
0.289432003803388850.69042352212718120.3168442420614087_4_4_4_4_744_88,4
0.289432003803388850.69042352212718120.3168442420614087_8_0_0_0_255_711,0
0.29548168609071970.9791028882115190.6246785799534218_6_6_6_6_1881_583,6
0.29722320946287230.0404363915204366540.23163716333866613_3_3_3_3_787_733,3
0.298155185825849540.407278937667622460.8576933353400314_6_6_6_6_1461_216,6
0.298155185825849540.407278937667622460.8576933353400314_6_6_6_6_207_164,6
0.298155185825849540.407278937667622460.8576933353400314_6_6_6_6_63_746,6
0.30004968853038130.134543119216887890.841354972252493_1_1_8_6_942_283,1
0.30004968853038130.134543119216887890.841354972252493_3_3_3_3_1582_1283,3
0.30004968853038130.134543119216887890.841354972252493_3_3_3_3_2422_893,3
0.300940482188114530.077549303838700730.4065816793335484_1_1_1_1_1398_803,1
0.30160819530197090.43272610850764050.1134575166201851_2_2_2_2_197_633,2
0.30169834632648420.068958896900641050.1687909363801826_0_0_0_0_1887_1138,0
0.302393122490377750.43131130980074650.4266438374254_0_0_0_0_716_333,0
0.302393122490377750.43131130980074650.4266438374254_1_1_1_1_1242_1277,1
0.302524303370539040.66867725705862760.6513656829750563_3_0_1_0_96_888,0
0.306332273002598350.115048050253428120.6614978446637948_0_0_0_0_1092_20,6
0.306332273002598350.115048050253428120.6614978446637948_0_0_0_0_1353_1053,2
0.306332273002598350.115048050253428120.6614978446637948_0_0_0_0_327_783,0
0.306332273002598350.115048050253428120.6614978446637948_0_0_0_0_551_1066,0
0.306332273002598350.115048050253428120.6614978446637948_0_0_0_0_655_966,0
0.306332273002598350.115048050253428120.6614978446637948_1_1_1_1_1640_1068,1
0.306332273002598350.115048050253428120.6614978446637948_1_1_1_1_79_355,1
0.306332273002598350.115048050253428120.6614978446637948_1_1_1_1_808_699,1
0.307090172172342140.55485067195967560.42924676889581326_5_5_5_5_1592_623,5
0.30794667290549750.474317871511381160.9217448320148947_0_0_0_0_1572_153,0
0.309137972716038050.4682736252774070.5546221848484904_5_5_5_5_742_246,0
0.310052343358128370.100486271881957130.15974225841974932_5_6_5_5_1176_163,5
0.310217407774977750.33331330655360870.9523231470924512_0_0_0_0_898_9,0
0.31070132015011510.60702683540569080.34326187157589094_7_7_7_7_438_1129,7
0.31070132015011510.60702683540569080.34326187157589094_7_7_7_7_97_470,7
0.31339001357443640.249681811257999150.29622341386323503_1_1_1_1_412_453,1
0.31504160751358490.82114640352576230.8722241990444882_0_0_0_0_106_38,0
0.31504160751358490.82114640352576230.8722241990444882_0_0_0_0_697_1058,0
0.31504160751358490.82114640352576230.8722241990444882_4_4_4_4_962_753,4
0.31526030045222520.304595169334957340.7596884817096362_0_0_0_0_1316_1131,0
0.31526030045222520.304595169334957340.7596884817096362_0_0_0_0_1536_13,0
0.31526030045222520.304595169334957340.7596884817096362_0_0_0_0_37_25,0
0.31616398759312960.97973401794261390.5515015768294963_0_0_0_0_1148_985,0
0.31794393291749190.71348457410551420.2393759361603448_0_0_0_0_1292_618,2
0.319637402057633250.57709851920635270.5174245122651564_7_7_7_7_1382_798,7
0.32020768639922560.14647873230250220.1735813332969447_0_0_0_0_1670_114,0
0.32020768639922560.14647873230250220.1735813332969447_0_0_0_0_2190_1399,0
0.32020768639922560.14647873230250220.1735813332969447_0_0_0_0_508_579,0
0.32020768639922560.14647873230250220.1735813332969447_1_1_1_1_1253_351,1
0.32020768639922560.14647873230250220.1735813332969447_1_1_1_1_1381_1122,1
0.321246851619345740.4476063095343480.11906802569210284_0_0_0_0_76_948,4
0.323704064082128260.14395974692555490.3733703165422314_5_5_5_5_688_485,5
0.325270321281627140.126621205664544050.77012709906772_0_0_0_0_1967_848,0
0.32534842565412280.21053844292954360.9278763582361584_3_3_3_3_757_838,3
0.32618176191739580.76951147073495950.2321948731475495_0_0_0_0_176_668,0
0.32708859850495010.70967546169014940.507393412642731_2_2_2_2_476_393,2
0.32818368101775240.58118985067812180.22147273504597853_0_0_0_0_1247_948,0
0.33023510963647040.67341081268840430.019564698245749912_6_6_5_1_1087_73,5
0.33093275350287020.8798453854401380.9180681689700286_4_4_4_4_961_353,4
0.33325170287698670.96812892746128780.6704528244465017_0_0_0_0_147_48,0
0.333803482030543440.66164125154173590.14798980699285913_0_0_0_3_1157_936,6
0.333803482030543440.66164125154173590.14798980699285913_2_2_2_2_1052_623,2
0.333803482030543440.66164125154173590.14798980699285913_4_4_4_4_781_703,4
0.33401732321315050.470674580460606840.803788371720989_1_1_1_1_811_459,1
0.334120512114231660.71287033881863990.2320011602042774_1_1_1_1_779_985,1
0.33465963486307960.53591987793980990.3539426017203575_3_3_3_3_1407_583,3
0.335311481026566270.50712371620590190.7976991254996618_0_5_5_5_1167_88,5
0.335311481026566270.50712371620590190.7976991254996618_5_1_5_1_267_538,5
0.335311481026566270.50712371620590190.7976991254996618_5_5_5_5_557_1268,5
0.335742631971187370.104889808404222570.3870256087732893_4_4_4_4_1857_493,4
0.336234918818727140.94571361527350350.20378077429588382_6_6_2_6_1357_364,6
0.336305056556949530.50914512882336390.4400496441473867_5_5_5_5_1272_308,0
0.336624592357104960.405554280640807450.9604322689181991_1_1_1_1_1061_93,1
0.33697455194082340.92023303863338210.7467885840596088_7_7_7_7_277_458,7
0.33713560543419140.95458310471182750.49388095581973934_0_3_0_0_2122_466,4
0.33805564068911540.0128749142035601280.3597489025358943_2_2_2_2_2087_598,2
0.33806972712436310.13681921592284640.2163885056513971_0_0_0_0_1066_359,4
0.338156411069447160.317053539789156070.42921840821886703_0_0_0_0_1629_244,0
0.33885957294751110.416943139310136160.256432986012062_2_2_2_2_1817_423,2
0.339500324705332530.374385199520228860.09091174298493254_0_0_0_0_1877_612,0
0.339500324705332530.374385199520228860.09091174298493254_0_0_0_0_522_488,7
0.341062173603276060.247575134283890.9318294529580001_4_4_3_3_802_553,3
0.34109423952993690.79508691006404080.47297064836286773_0_0_0_0_277_1148,0
0.34109423952993690.79508691006404080.47297064836286773_0_0_0_0_307_648,0
0.34109423952993690.79508691006404080.47297064836286773_0_0_0_0_897_168,0
0.34109423952993690.79508691006404080.47297064836286773_7_7_7_7_1647_733,7
0.34109423952993690.79508691006404080.47297064836286773_7_7_7_7_874_12,7
0.341234992255677660.61289182059778760.6016828640006847_0_0_0_0_1072_413,0
0.341234992255677660.61289182059778760.6016828640006847_0_0_0_0_1592_1073,0
0.34155385031836380.270298300311502370.13056886899423126_0_0_0_0_720_631,0
0.34201239224873060.90471341765817560.30880213413188695_0_0_0_0_522_1378,4
0.34201239224873060.90471341765817560.30880213413188695_0_0_0_0_882_298,0
0.34201239224873060.90471341765817560.30880213413188695_5_5_5_5_1522_348,5
0.34201239224873060.90471341765817560.30880213413188695_5_5_5_5_2052_298,5
0.34327393318934040.90519276179489340.7619618393438754_0_0_0_0_532_1188,0
0.34336048413915590.5324258744643260.7272686004467575_0_0_0_0_667_288,0
0.345218522780873060.8723825373626770.07126453683233613_6_6_6_6_737_273,6
0.34556861948017580.75624249927908150.9262458152113311_0_0_0_0_1274_581,0
0.34607789200929870.343821742808649740.5331618645313436_2_2_2_2_967_608,2
0.346714546148162440.51719769284626160.8143155356376189_1_1_0_1_517_693,2
0.347445355864843150.70873208250754950.8677577291982419_1_1_1_1_1942_498,1
0.347445355864843150.70873208250754950.8677577291982419_3_3_3_3_1227_823,3
0.347445355864843150.70873208250754950.8677577291982419_3_3_8_8_1367_1333,3
0.34764679875482320.98434181018405910.6409879694481831_0_0_0_0_862_113,0
0.34771289131128670.94172887537921060.6675746296037077_5_5_5_5_584_22,5
0.34856153014437240.63137545471784940.5601340120492576_6_6_6_4_427_18,6
0.349045754163123670.39531707148480210.5222303100021503_0_0_0_0_1007_653,0
0.351204077242405650.86875351131021880.020978192640261684_3_3_3_3_887_1313,3
0.354772245612075770.318480978395347170.8018303331255636_1_1_1_1_72_33,1
0.35739040820638790.195349603148241240.8009949312961488_0_0_0_0_330_1,0
0.35739040820638790.195349603148241240.8009949312961488_0_0_0_0_942_1303,0
0.357697423171131070.90885765879661440.44908470602033634_3_3_3_3_587_618,3
0.35779427537674080.81838767186087970.3388362023847391_0_0_0_0_1661_614,0
0.35779427537674080.81838767186087970.3388362023847391_0_0_4_0_16_3,0
0.358049738603734350.15624884648166780.7200684311294867_5_5_5_5_532_238,5
0.358049738603734350.15624884648166780.7200684311294867_7_7_7_7_1377_773,7
0.358049738603734350.15624884648166780.7200684311294867_7_7_7_7_562_738,7
0.359397396483598360.166856771012385270.7438321210991808_3_3_3_3_1062_108,3
0.359397396483598360.166856771012385270.7438321210991808_3_3_3_3_1557_293,3
0.359397396483598360.166856771012385270.7438321210991808_3_3_3_3_1797_308,3
0.35955072654977060.85244648809356480.8172570002236969_7_7_7_7_1252_423,7
0.360634961383206170.440694936644058340.41949342828715497_0_0_0_0_177_638,0
0.362493780815496440.0446512730310072440.35187239548412264_0_0_0_0_1977_943,0
0.36261185419210950.67292673541110360.5802692066940179_5_5_5_5_532_298,5
0.36291088785658230.91177440172275960.5977134381620306_4_4_4_4_1677_831,4
0.36301466777948790.68397702263411740.7080946467958491_0_7_0_2_166_928,6
0.36341772078697220.108538449989761810.7780983116976824_0_0_0_0_1901_53,7
0.36402777033809830.74767024768231530.341242030241634_0_0_0_0_1247_583,0
0.364329535277834740.98650356071291330.9563771923969537_0_0_0_0_807_433,0
0.364790989573874350.63954258866711980.22106539244802492_0_0_0_0_837_698,0
0.364998724466469640.449224354587412940.9076691272906868_2_2_2_2_1722_643,2
0.366477024800441530.08433822102295740.049374848728224174_2_2_2_2_816_349,2
0.36683843186036190.83586314580870780.12997968656669312_5_5_5_5_718_62,5
0.36718178273722080.305180902064126960.6415528293267807_0_0_0_0_1032_573,0
0.370060293580175670.80556948742926650.271814400046428_5_5_5_3_2187_1533,5
0.37141190521421920.143004928141313050.745693078064167_0_0_0_0_1597_228,5
0.37157222078655730.070096473439162370.04332423306135258_2_2_2_2_672_688,2
0.37165120239928060.67615051188808240.6682938905025575_0_0_0_0_587_543,0
0.37229881362970340.9899727224716310.0021610623538049767_0_0_0_0_520_29,0
0.37444653316156650.85471993392940180.28677667132775764_7_7_7_7_157_868,7
0.375054369583275650.297392115344549350.7327783626762707_0_0_0_0_832_698,2
0.375602142497771240.210777154283665840.27105109758878154_7_7_4_3_1062_618,0
0.37633309077375210.095744642672023540.16705893160572338_2_2_2_2_417_648,2
0.377971572548510770.94644691550099640.0579066981049533_6_6_6_6_1272_868,6
0.378527251110764350.92205731296390860.500357960604366_0_4_0_4_757_473,0
0.38052530907129520.221427623258997790.22336977831131055_0_0_0_0_502_368,0
0.380904161976767350.0312096723121836340.1796069171803616_7_7_7_7_1094_442,7
0.380904161976767350.0312096723121836340.1796069171803616_7_7_7_7_1694_662,7
0.380904161976767350.0312096723121836340.1796069171803616_7_7_7_7_572_657,7
0.383796604949074640.29754255251367390.4814441233822363_0_0_0_0_301_431,0
0.383796604949074640.29754255251367390.4814441233822363_0_0_0_0_820_553,4
0.385397776822873130.96014724320026670.9299728569386887_5_7_4_5_332_646,5
0.38621977505855610.17820822225839140.6145135210347648_0_0_0_0_1167_588,0
0.38714844102056380.80918362939103120.6627630337647191_3_3_3_3_172_343,3
0.38758907948432920.87091678799969510.9436271404287321_1_1_1_1_532_988,1
0.38847311586743260.87125030921821990.037216842244950143_2_2_2_2_412_1288,2
0.38847311586743260.87125030921821990.037216842244950143_7_7_7_7_897_8,7
0.389807088577805770.96355131156067520.5155702445700212_0_0_0_0_1_5,0
0.389807088577805770.96355131156067520.5155702445700212_1_1_1_1_2344_464,1
0.39325315288564610.98165408442224170.6837125996024799_2_2_2_2_1882_588,2
0.394324161885126650.38253633101020390.11467634151512374_0_0_0_0_1567_3,0
0.396671252054889730.77337450681078830.2704877381009083_0_0_0_0_552_58,8
0.396786777875082430.66585486101919030.17382688253710243_4_4_4_4_1581_1263,4
0.396786777875082430.66585486101919030.17382688253710243_4_4_4_4_2162_1308,4
0.39694208741312920.84451417270858970.09041009117802601_5_5_5_5_1890_214,5
0.39858437751051880.80084093178947710.6094022828462752_0_0_0_0_90_731,0
0.402044317191551540.82915063108251140.03626704217889287_2_2_2_2_1512_688,2
0.40348941440319810.04847583213373230.08357134950427492_0_0_0_0_1422_27,4
0.40348941440319810.04847583213373230.08357134950427492_0_0_0_0_269_22,0
0.40348941440319810.04847583213373230.08357134950427492_0_0_0_0_40_742,0
0.40367917912506380.5863237420073710.12253068147858437_0_0_0_0_1462_953,1
0.40367917912506380.5863237420073710.12253068147858437_0_0_0_0_486_1123,1
0.40367917912506380.5863237420073710.12253068147858437_0_0_0_0_612_53,1
0.403774010683228270.79802935104595070.6082874704583253_1_1_1_1_1037_533,1
0.40408057173709120.058779774002236440.13126404430488092_5_5_5_5_1487_1013,5
0.404123095547106350.225265695522182790.04203134779564621_0_0_0_0_552_458,2
0.404896993578431560.676537634668830.321379096097281_6_6_6_6_864_379,6
0.40633670501530040.15969074400025740.5248425996722339_4_4_4_4_1397_638,4
0.40650210772550690.51458864463956340.528546177830675_0_0_0_0_374_866,0
0.40699722201269540.1595225102894230.46934258330259593_3_3_0_3_807_428,3
0.40758394577582490.85734282950878590.791159068868493_5_5_5_5_736_243,5
0.408744433448414050.109699265184639130.7369551347941337_1_1_1_1_1237_523,1
0.409170408006703570.76209138568478170.721997124729286_6_6_6_6_568_555,6
0.40921370051587690.400475225477022740.9230892810655985_5_5_5_5_1212_368,5
0.40922408236229270.72909179004810290.4222135304525815_6_6_6_6_1269_546,6
0.40922408236229270.72909179004810290.4222135304525815_6_6_6_6_696_394,6
0.40922408236229270.72909179004810290.4222135304525815_6_6_6_6_840_318,6
0.410437084038029370.42344107278270450.2972567591128594_5_5_5_5_427_538,5
0.411735641933103750.7162807940595840.7421236213103676_6_6_6_6_1535_579,6
0.41247767222716680.101775313064099590.45655811673167457_0_0_0_0_163_642,0
0.412683521355739160.68296144580483260.5425139515100345_2_2_2_2_1367_318,2
0.415115889437875030.52386621561130840.3344557081708256_2_2_2_2_627_748,2
0.41516099888678960.70660819432461740.8254775753441617_5_5_5_5_489_468,5
0.416620993544990270.97898259515995520.6844398317137709_1_1_1_1_1079_352,1
0.41717969561773670.59106232334429550.5391274592743793_4_4_4_7_312_403,4
0.41788426098803380.92979452689724570.6803910635556595_1_1_1_1_1738_688,1
0.418297721430966330.54706628605085550.9678093633664311_5_5_5_5_477_5,0
0.419932578877118430.050170467138769160.6277733854185941_0_0_0_0_2427_1413,0
0.420170990910929350.72859656583368070.19999516722537758_3_3_3_3_597_213,3
0.42247139554977040.72386304808112980.774728447214151_4_4_4_4_181_508,4
0.423351229246832330.95052262670898970.6226491777607769_2_2_2_2_147_698,2
0.42401427873377720.68340296570265450.355652841368982_1_1_1_1_1270_370,1
0.42553602666122570.68563112420652750.22497562615768352_0_0_0_0_1017_1398,0
0.42553602666122570.68563112420652750.22497562615768352_7_7_7_7_217_63,7
0.42594811760554440.84526856005795370.4758220940098863_6_6_6_6_1262_553,6
0.426188372268985650.217513425044796870.48487847781572757_1_1_1_1_1432_308,1
0.426188372268985650.217513425044796870.48487847781572757_5_5_5_5_1072_573,5
0.4269372564364090.13782164730117620.96525904055653_4_4_4_4_1821_623,4
0.427308757206472770.70126985305546270.3358832878730108_2_2_2_2_822_398,2
0.428002115584221740.28937813921906810.8845197015606605_0_0_0_0_1587_948,0
0.428602675430974630.231753087087620.671578232878525_3_3_3_3_987_323,3
0.429367347014435240.72632359143354540.1964504970640999_0_0_0_0_607_618,0
0.43017808775753330.453366517060570850.2080717123268323_6_0_0_0_832_428,0
0.432127443215646330.354921846580196760.9990949059962747_0_0_0_0_917_798,0
0.433554538551707670.65562519265401590.6519587725901255_0_0_0_0_1620_393,0
0.433554538551707670.65562519265401590.6519587725901255_0_0_0_0_373_1005,0
0.43357639770811460.73551927886342730.8399366924839301_4_4_4_4_1082_548,4
0.4336936642745910.81487627400629190.021909959747049346_0_0_0_0_0_746,1
0.4336936642745910.81487627400629190.021909959747049346_0_0_0_4_1517_253,7
0.434290707962142860.50734215937589330.5660066376521307_3_3_3_3_2087_423,3
0.434679412501583930.77624413933451850.6439279900469942_0_0_0_0_964_346,0
0.43511099766752880.239222426403350560.2658349550405714_1_1_1_1_411_307,1
0.435667868492090050.159478142669015050.3632374031804767_4_4_4_4_392_628,4
0.436143462661694350.80627097896691280.736562150794546_5_5_5_5_1127_443,5
0.43637753085098520.41761293904203290.1809565783438386_2_7_0_0_687_949,0
0.436948185884639350.373071101029116450.3100735238754453_1_1_1_1_1762_1188,1
0.437459971479198240.90663973978687660.7515090866692908_1_3_3_3_879_682,1
0.437795833870812670.90343902238823160.6388011234584594_0_0_0_0_352_1338,3
0.437795833870812670.90343902238823160.6388011234584594_3_3_3_3_1587_33,3
0.437795833870812670.90343902238823160.6388011234584594_3_3_3_3_727_973,3
0.437795833870812670.90343902238823160.6388011234584594_3_3_3_3_837_63,3
0.439101453269853950.292968208154209540.058727240494564015_5_5_5_5_1107_398,5
0.43958660339315380.41639627617802830.3003874209262509_0_0_0_0_1172_3,0
0.4400205417183810.16988838360979840.3261683013925626_2_2_2_2_937_373,2
0.44010852700244020.080041184859023230.5480642242796065_2_2_2_2_701_809,2
0.44106997306467420.56794531873851430.1752966982984867_1_1_1_1_1379_923,1
0.441210707135383460.79718928709186270.054735377414569575_5_5_5_5_1303_344,5
0.441210707135383460.79718928709186270.054735377414569575_5_5_5_5_620_753,5
0.443235876172327070.86401905609856010.08207832201807175_2_2_2_2_1522_558,2
0.44405527556457460.113732565107379720.3242682008882437_2_2_2_2_1107_788,2
0.445843374475991760.275198308289107740.5980355475322924_0_0_0_0_1612_1343,0
0.445843374475991760.275198308289107740.5980355475322924_4_4_4_4_887_138,4
0.445843374475991760.275198308289107740.5980355475322924_5_5_5_5_1437_443,5
0.44634901229992050.80180150713803710.6609238995637365_0_0_0_0_982_438,1
0.45231809471088370.94187427662868320.2711545222678027_0_0_0_0_76_878,0
0.45267270778759850.50861566854923580.21285678974345867_4_4_4_4_979_731,4
0.452817280385336750.55653803922012660.6999631865550006_1_1_1_1_202_68,1
0.453139738357394960.08711754636979130.03988254616166531_0_0_0_0_312_558,0
0.453754512524445540.336045847876375260.7801033272756178_1_1_1_1_24_172,1
0.454057233525910760.438066744344023260.7970710661513241_7_7_7_7_738_146,7
0.45484134302358560.128043805558072150.031811487596345445_4_4_4_4_1427_358,4
0.456685722870811440.171553490484339770.12330179484260262_0_0_0_0_1142_658,2
0.45678606796062480.338555082214345270.3345214367641689_1_1_1_1_2457_243,1
0.45678606796062480.338555082214345270.3345214367641689_1_1_1_1_262_358,1
0.45678606796062480.338555082214345270.3345214367641689_3_3_3_3_1937_1033,3
0.45678606796062480.338555082214345270.3345214367641689_5_5_3_3_1832_1408,3
0.45917416264024360.078023879127779080.5276641322281184_3_3_3_3_692_858,3
0.45971903106966060.3630764280926210.37097033578926486_1_1_1_1_2092_778,1
0.460833210494429050.390377080212403470.36857333601514064_0_0_0_0_1583_3,0
0.460833210494429050.390377080212403470.36857333601514064_0_0_0_0_198_307,0
0.460833210494429050.390377080212403470.36857333601514064_4_4_0_0_1692_90,0
0.460833210494429050.390377080212403470.36857333601514064_7_7_7_7_2077_1673,7
0.46525470295062290.180603773941750760.9395726137074296_0_0_0_0_405_764,0
0.46525470295062290.180603773941750760.9395726137074296_1_1_1_1_1570_675,1
0.46525975491414960.28158854494576080.359717440524845_8_2_2_5_1732_225,2
0.465814864396710940.262872526013801950.5807193041754297_0_0_0_0_21_918,0
0.46609335814768170.7754617596132290.11334797922016637_4_4_4_4_1177_373,4
0.46632141155145010.1049432056262980.6082660299383085_0_0_0_0_452_1398,6
0.467213877955551360.433370874937845650.30544144055917954_0_0_0_0_1317_763,0
0.46989268976934130.6538381733256970.9060630855735317_0_0_0_0_141_358,0
0.47102767970912630.49947178588570420.9249088938975121_0_0_0_0_184_14,0
0.472842170925242060.1968915195200630.049511617906873195_5_5_5_5_1428_38,5
0.472842170925242060.1968915195200630.049511617906873195_5_5_5_5_2496_1125,5
0.474158574227963150.245969011894489160.2576074537777232_0_0_0_0_822_243,6
0.47731368536963860.64183564213487910.47953183024060786_5_5_5_5_1161_168,5
0.478361542078353130.65529213167573650.19305640611567176_4_1_1_4_1277_378,1
0.47980178103161510.201022305083063850.474983085090796_1_1_1_1_1758_713,1
0.48136873254568790.4606339947316890.8479210962313111_0_0_0_0_768_3,0
0.48199308901818860.290346995282379170.23753951138302565_7_5_7_6_587_658,7
0.48242423025073990.51400215099928530.737718013711137_2_2_2_2_707_638,2
0.48273032997021690.097231712483877740.48073948028716507_0_0_0_0_892_503,0
0.482891936465879470.50008433400545360.9218851652104731_6_6_6_6_1551_503,6
0.48507865847171880.76193057203860570.48285103119496675_0_0_0_0_1605_3,0
0.48507865847171880.76193057203860570.48285103119496675_3_3_3_0_568_9,7
0.48507865847171880.76193057203860570.48285103119496675_6_0_6_0_832_5,0
0.486096439637040860.67068010394715240.9832214649194833_0_0_0_0_45_920,0
0.486096439637040860.67068010394715240.9832214649194833_0_0_0_0_516_1133,0
0.486096439637040860.67068010394715240.9832214649194833_1_1_1_1_511_592,1
0.486096439637040860.67068010394715240.9832214649194833_6_0_0_0_2205_307,7
0.48737911662201650.92957730776167810.28135158595990184_4_1_4_1_22_9,1
0.48749388046559440.071969992224301340.6127523323443023_0_0_0_0_2022_203,7
0.488746155186431160.16437754254302850.9016825644496386_0_0_0_0_585_355,0
0.488746155186431160.16437754254302850.9016825644496386_0_0_0_0_7_1566,0
0.489114211176149950.99149314822780890.5804311250930912_6_6_6_6_762_668,6
0.492577899878823940.127125857695008730.8307104917353509_5_3_3_0_1767_293,2
0.492790258443455250.498703399552926530.9322004245008308_5_5_5_5_1197_873,5
0.493609280813194660.23985346937606310.35028305117814706_0_0_0_0_862_528,0
0.494302241775691040.74665864456258280.761756459642992_5_5_5_5_1412_673,5
0.495030234569836640.389170895243869940.08423550089962262_2_2_2_2_1032_788,2
0.49551114829461440.248660880733342030.2235895156797253_0_0_3_3_1590_852,0
0.495772903225535240.45871131098881980.783818673885275_4_4_4_4_1487_648,4
0.495772903225535240.45871131098881980.783818673885275_4_4_4_4_937_478,4
0.49602925159863330.20948449011604020.6958365845444278_0_4_4_1_1452_733,1
0.49762291220405820.6137557829089160.025751232421346693_7_7_7_7_1802_213,7
0.49762291220405820.6137557829089160.025751232421346693_7_7_7_7_471_1058,7
0.499152618883713430.194672789341104660.7543179460747289_0_0_0_0_957_1333,0
0.499152618883713430.194672789341104660.7543179460747289_7_7_7_7_517_643,7
0.49990598780573350.30404303422414680.28888357094563333_2_2_2_2_1347_713,2
0.50018893068792350.67114058885944750.15082174763656941_4_4_4_4_629_444,4
0.50142980224357710.46065392362461120.08520629589654138_0_8_0_0_1379_182,7
0.50162343573091530.045024223504960270.6436931288565303_0_0_0_0_767_735,0
0.50437880216180770.233896365130250920.09307220757838908_2_0_2_2_182_183,0
0.50530069311387170.25505187331749970.08548756582681505_1_1_1_1_557_468,1
0.50618812986913530.71524631319042780.5740784946495875_5_5_5_5_937_593,5
0.50727619275926230.92262592682304280.11625818524036413_1_1_1_1_1118_1029,1
0.50935519057888360.493314924113490540.9354201824705658_2_8_8_2_1312_353,2
0.51164061716125210.022611198986457360.7795105694634096_0_0_0_0_848_1,0
0.51164061716125210.022611198986457360.7795105694634096_5_5_5_5_3_420,5
0.51221931838846690.089790144056652870.914871202213473_1_1_1_1_346_433,1
0.51299521284414730.79694298775741250.8157385591254281_1_1_1_1_841_431,1
0.51310591960456020.62175504338467050.4326951445037909_5_5_5_5_1777_464,5
0.51314258390823220.29838233713432470.11667626572511114_1_1_1_1_802_863,1
0.51411045700246870.49456886684435220.49064250703480006_5_5_5_5_63_5,5
0.51567863991280770.59334889941861780.3486164056776293_6_6_6_6_627_266,6
0.51596809404839760.59392830279239280.6966790860319567_0_0_0_0_418_338,7
0.51670231082908970.5327225105848360.014407616331091555_6_6_6_6_872_23,6
0.51684888069508040.62250907463890170.3201973400976652_1_0_0_4_487_953,1
0.51750498204864180.481150364757930940.5547439684466835_4_4_4_4_1632_503,4
0.51751567027403010.18968457300623910.058934005872009476_4_7_7_7_952_1048,7
0.51751567027403010.18968457300623910.058934005872009476_7_7_8_7_2127_43,7
0.52035606108421760.99914536199415030.9104819005790218_0_0_0_0_132_478,0
0.52035606108421760.99914536199415030.9104819005790218_0_0_0_0_1387_458,0
0.52035606108421760.99914536199415030.9104819005790218_0_0_0_0_1542_448,0
0.52035606108421760.99914536199415030.9104819005790218_0_0_0_7_2262_633,5
0.52043995015197410.53010412084727620.17965057700881915_1_1_1_1_2777_979,1
0.52043995015197410.53010412084727620.17965057700881915_1_1_2_6_2042_146,1
0.52539642208392830.55344697638767630.4559477212735511_1_1_1_1_1759_68,1
0.52592482807511290.42737433004819170.27893842412575764_0_0_7_0_1275_1333,4
0.52592482807511290.42737433004819170.27893842412575764_7_7_7_7_1703_412,7
0.52592482807511290.42737433004819170.27893842412575764_7_7_7_7_1866_188,7
0.52723113738610460.82734347557479440.2735048896896599_4_2_4_2_917_623,4
0.52723113738610460.82734347557479440.2735048896896599_5_5_5_5_1087_333,4
0.52760166326830030.214945239561377120.786488973865784_0_0_0_0_1232_258,0
0.52906712083838820.67119083703556840.0760583033473099_0_0_0_0_422_1158,0
0.5324326639247920.24698500319402440.765857797612879_0_0_0_0_1326_177,0
0.53260678969132210.53580355089784410.5270984525135368_2_2_2_2_1377_488,2
0.53284530042344660.68674293731805590.2483091156547883_6_6_6_6_1568_1470,6
0.53284530042344660.68674293731805590.2483091156547883_6_6_6_6_2570_229,6
0.53284530042344660.68674293731805590.2483091156547883_6_6_6_6_264_249,6
0.5337566967979110.068315960020432390.6748210087063842_0_4_0_4_2632_518,0
0.53415669435903380.24688052354148970.19584771469156326_0_0_0_0_1767_1273,0
